"2022-01-14_15h22m17s-t7-init-series-concentration-measure-2",,,,,,,,,,,
"Lane","Band No.","Band Label","Mol. Wt. (KDa)","Relative Front","Adj. Volume (Int)","Volume (Int)","Abs. Quant.","Rel. Quant.","Band %","Lane %"
"1","1","","N/A","0.353511","3220752","4565996","N/A","3.724463","60.488104","49.335444"
"1","2","","N/A","0.455206","2103852","3047080","N/A","2.432885","39.511896","32.226782"
"2","1","","N/A","0.353511","4453184","5655832","N/A","5.149642","63.015280","49.445804"
"2","2","","N/A","0.450363","2613648","3411084","N/A","3.022411","36.984720","29.020567"
"3","1","","N/A","0.338983","2673692","3682472","N/A","3.091846","60.996572","45.088011"
"3","2","","N/A","0.443099","1709656","2483292","N/A","1.977039","39.003428","28.830916"
"4","1","","N/A","0.334140","3498804","4540632","N/A","4.046001","71.074551","53.975830"
"4","2","","N/A","0.435835","1423920","2035920","N/A","1.646615","28.925449","21.966725"
"5","1","","N/A","0.329298","3278484","4313716","N/A","3.791224","78.387474","50.816856"
"5","2","","N/A","0.430993","903924","1433508","N/A","1.045294","21.612526","14.010920"
"6","1","","N/A","0.314770","643552","1126896","N/A","0.744201","31.982697","24.265422"
"6","2","","N/A","0.428571","1368636","1927596","N/A","1.582685","68.017303","51.605046"
"7","1","","N/A","0.312349","1517352","2155532","N/A","1.754659","76.201209","57.227124"
"7","2","","N/A","0.421308","473892","945948","N/A","0.548007","23.798791","17.872897"
"8","1","","N/A","0.307506","1109964","1665864","N/A","1.283557","93.788784","52.248648"
"8","2","","N/A","0.421308","73508","776016","N/A","0.085004","6.211216","3.460197"
"9","1","","N/A","0.314770","3146088","4044980","N/A","3.638122","80.086550","65.008641"
"9","2","","N/A","0.418886","782272","1349256","N/A","0.904616","19.913450","16.164341"
"10","1","","N/A","0.307506","1557064","2229244","N/A","1.800582","84.332646","48.707749"
"10","2","","N/A","0.416465","289272","727736","N/A","0.334513","15.667354","9.048946"
"11","1","","N/A","0.302663","1046928","1583040","N/A","1.210663","46.367907","37.489043"
"11","2","","N/A","0.418886","1210944","1757392","N/A","1.400330","53.632093","43.362228"
"12","1","","N/A","0.297821","697476","1161848","N/A","0.806558","45.125385","34.647345"
"12","2","","N/A","0.416465","848164","1332460","N/A","0.980813","54.874615","42.132820"
"13","1","","N/A","0.307506","1299888","1898084","N/A","1.503185","35.733513","26.181639"
"13","2","","N/A","0.416465","2337840","3020356","N/A","2.703468","64.266487","47.087505"
"14","1","","N/A","0.309927","101864","404668","N/A","0.117795","3.342332","2.400756"
"14","2","","N/A","0.351090","2299556","2911896","N/A","2.659196","75.452375","54.196516"
"14","3","","N/A","0.452785","646272","1096636","N/A","0.747346","21.205292","15.231502"
"15","1","","N/A","0.164649","392700","751536","N/A","0.454117","6.341763","6.072044"
"15","2","","N/A","0.186441","350064","625124","N/A","0.404812","5.653229","5.412794"
"15","3","","N/A","0.222760","864756","1309000","N/A","1.000000","13.965057","13.371115"
"15","4","","N/A","0.246973","265812","583100","N/A","0.307384","4.292633","4.110064"
"15","5","","N/A","0.285714","345304","758132","N/A","0.399308","5.576359","5.339193"
"15","6","","N/A","0.309927","307904","552908","N/A","0.356059","4.972382","4.760903"
"15","7","","N/A","0.338983","890256","1331508","N/A","1.029488","14.376860","13.765404"
"15","8","","N/A","0.372881","269620","604384","N/A","0.311787","4.354128","4.168945"
"15","9","","N/A","0.418886","288456","774928","N/A","0.333569","4.658313","4.460193"
"15","10","","N/A","0.479419","335512","803488","N/A","0.387985","5.418227","5.187787"
"15","11","","N/A","0.556901","875976","1416372","N/A","1.012975","14.146250","13.544602"
"15","12","","N/A","0.605327","345304","766360","N/A","0.399308","5.576359","5.339193"
"15","13","","N/A","0.665860","327964","806956","N/A","0.379256","5.296333","5.071077"
"15","14","","N/A","0.740920","332656","839596","N/A","0.384682","5.372105","5.143626"
